Year,Country,Artificial surfaces (including urban and associated areas): Climate altering,Climate Altering Land Cover Index: Climate altering,Grassland: Climate regulating,Herbaceous crops: Climate altering,Inland water bodies: Climate regulating,Mangroves: Climate regulating,Permanent snow and glaciers: Climate regulating,Shrub-covered areas: Climate regulating,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded: Climate regulating",Sparsely natural vegetated areas: Climate neutral,Terrestrial barren land: Climate neutral,Total Land Cover: Climate altering,Total Land Cover: Climate neutral,Total Land Cover: Climate regulating,Tree-covered areas: Climate regulating,Woody crops: Climate regulating
1992,"Comoros, Union of the",1.22,104.8701299,12.99,8.47,4.46,0.81,0.0,18.87,0.0,0.0,0.0,,,,114.21,4.56
1992,"Congo, Dem. Rep. of the",71.72,87.20081015,7385.5,17612.68,4327.68,246.46,0.0,8539.78,4851.14,5.45,27.24,,,,188241.18,3154.51
1992,"Congo, Rep. of",11.07,108.3900787,2238.42,2625.01,285.78,76.17,0.0,2343.78,99.97,0.26,0.04,,,,26361.87,246.09
1992,Cook Islands,0.01,151.4741045,1.27,2.67,3.52,0.0,0.0,0.86,0.08,1.23,0.0,,,,10.91,4.0
1992,Costa Rica,15.18,127.2592067,332.67,379.73,40.04,32.35,0.0,287.09,3.52,0.0,2.3,,,,3639.46,394.91
1992,"Croatia, Rep. of",34.28,94.87272148,547.18,1912.61,100.07,0.0,0.0,264.3,27.24,31.6,8.93,,,,2552.93,178.32
1992,Cuba,40.72,102.6408911,1261.01,3573.43,419.86,391.96,0.0,454.89,218.79,1.09,0.43,,,,4237.94,499.78
1992,Cyprus,9.31,84.78442475,84.12,213.73,20.14,0.0,0.0,113.35,0.66,136.31,79.94,,,,181.81,95.34
1992,Czech Rep.,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,Côte d'Ivoire,62.78,101.1691079,1265.57,5710.6,265.67,11.37,0.0,4349.2,12.92,0.02,0.09,,,,12800.64,7906.99
1992,Denmark,75.32,101.0914247,501.21,2928.15,265.92,0.0,0.0,88.63,56.94,0.95,2.22,,,,505.31,10.38
1992,Djibouti,1.13,80.31709194,69.47,1.4,19.04,0.75,0.0,24.61,93.88,23.6,1943.92,,,,1.82,0.7
1992,Dominica,0.19,74.19354839,0.19,0.04,1.29,3.15,0.0,0.03,0.0,0.26,0.0,,,,69.98,0.11
1992,Dominican Rep.,28.06,102.4530012,826.51,915.94,53.43,17.97,0.0,182.44,213.52,1.96,0.49,,,,2139.56,453.9
1992,Ecuador,45.8,130.5448561,1837.57,1397.42,295.21,188.15,12.45,3024.62,110.56,35.39,348.48,,,,17281.05,1186.9
1992,"Egypt, Arab Rep. of",78.67,105.700071,248.45,3850.57,811.19,2.05,0.0,104.98,1121.07,1212.98,90792.86,,,,24.69,560.96
1992,El Salvador,15.42,97.28820576,100.67,317.45,47.22,39.82,0.0,90.44,1.64,0.0,1.29,,,,1329.69,141.99
1992,Emerging and Developing Countries Asia excluding China,,103.9582463,,,,,,,,,,298707.52,108851.63,587404.28,,
1992,Emerging and Developing Countries Europe,,98.22314779,,,,,,,,,,289588.63,160387.02,1497650.2,,
1992,Emerging and Developing Economies,,97.28131284,,,,,,,,,,1455136.96,2152888.19,6012520.29,,
1992,"Equatorial Guinea, Rep. of",1.01,25.34901136,23.05,29.85,19.3,40.32,0.0,13.25,0.88,0.0,0.0,,,,2440.24,149.23
1992,"Eritrea, The State of",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,"Estonia, Rep. of",12.44,78.86785867,313.73,786.7,254.25,0.0,0.0,120.89,179.89,3.03,0.56,,,,2841.01,8.47
1992,"Eswatini, Kingdom of",1.81,83.03330417,245.31,444.22,5.89,0.0,0.0,187.22,8.63,0.23,22.96,,,,790.31,29.78
1992,"Ethiopia, The Federal Dem. Rep. of",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,Europe,,96.79913794,,,,,,,,,,359372.42,177427.75,1721081.84,,
1992,Falkland Islands (Malvinas),0.01,739.9877352,1034.38,0.36,65.36,0.0,0.0,35.29,0.02,7.96,8.22,,,,54.75,0.36
1992,Faroe Islands,0.0,100.0,98.1,1.27,5.87,0.0,0.0,12.06,2.46,6.68,0.51,,,,10.59,1.27
1992,"Fiji, Rep. of",1.77,130.9293952,62.13,249.13,61.07,43.78,0.0,40.37,0.0,4.36,0.0,,,,1246.49,120.64
1992,Finland,32.39,85.23580844,689.73,2136.82,3270.56,0.0,0.0,774.94,3112.13,666.23,15.28,,,,22849.32,1.96
1992,France,648.98,98.32552342,11031.96,24436.27,439.81,0.0,25.03,1370.19,165.12,247.72,207.93,,,,14636.43,1649.36
1992,French Polynesia,0.41,89.09489625,20.33,10.05,86.91,1.84,0.0,13.75,0.0,38.36,0.0,,,,126.38,105.55
1992,Gabon,7.36,84.67106009,645.61,583.23,282.7,223.54,0.0,676.63,28.28,0.05,0.0,,,,23827.9,305.5
1992,"Gambia, The",5.16,96.55093311,49.16,573.76,94.66,136.11,0.0,150.14,4.5,0.0,1.38,,,,95.9,17.71
1992,Georgia,40.64,89.75190716,910.34,1209.99,34.64,0.0,37.86,611.08,9.14,46.8,117.66,,,,3455.4,508.35
1992,Germany,997.31,100.0283425,6366.8,15687.01,459.32,0.0,0.0,859.8,109.87,30.79,12.32,,,,10819.49,329.69
1992,Ghana,78.34,96.18143011,865.74,6172.2,493.52,25.34,0.0,5208.5,73.32,0.53,115.03,,,,7669.28,3350.62
1992,Gibraltar,0.29,92.6916221,0.06,0.03,0.02,0.0,0.0,0.07,0.02,0.0,0.0,,,,0.14,0.03
1992,Greece,82.26,109.3498938,1402.8,3559.25,354.2,0.0,0.0,3052.1,20.69,72.19,269.3,,,,3119.11,1339.69
1992,Greenland,0.05,83.3333372,6118.77,0.0,5544.14,0.0,175240.0,1015.41,104.35,26506.1,680.25,,,,130.92,0.0
1992,Grenada,0.38,58.20976492,1.81,0.08,1.46,0.16,0.0,0.14,0.01,0.0,0.0,,,,27.78,0.38
1992,Guadeloupe,1.68,51.99693674,9.57,21.04,5.85,3.29,0.0,2.17,4.15,0.05,0.02,,,,116.52,6.4
1992,Guam,0.01,146.3414634,48.45,0.59,1.92,0.0,0.0,0.14,0.0,0.02,0.0,,,,0.37,2.97
1992,Guatemala,33.34,91.17956968,924.28,902.93,127.53,31.85,0.0,572.4,22.99,0.0,1.95,,,,8017.45,336.86
1992,Guinea,18.66,100.8083813,802.17,2895.82,92.41,239.55,0.0,4002.39,1.53,0.0,1.3,,,,15831.22,567.81
1992,Guinea-Bissau,1.42,107.6602513,103.52,320.58,50.8,266.83,0.0,178.61,1.33,0.03,1.6,,,,2004.99,150.03
1992,Guyana,7.4,58.87578006,232.08,101.85,91.01,8.98,0.0,1038.68,107.11,1.66,2.67,,,,19715.26,5.66
1992,Haiti,13.37,95.2517202,1471.77,283.9,42.67,12.46,0.0,52.56,294.17,5.85,0.02,,,,432.38,109.19
1992,Holy See,0.05,100.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,0.0
1992,Honduras,17.46,124.9330695,1138.8,928.31,126.37,59.86,0.0,732.41,17.28,0.09,0.6,,,,8046.45,208.33
1992,Hungary,132.51,100.3722187,1087.57,5905.95,132.96,0.0,0.0,98.06,54.4,1.87,1.4,,,,1606.26,286.45
1992,Iceland,2.07,65.50632911,3604.29,0.0,333.07,0.0,1102.48,75.27,722.66,2329.68,2006.96,,,,36.94,0.0
1992,India,608.84,103.0033266,25136.35,183466.31,4818.16,323.66,783.16,22728.05,705.64,513.58,1213.25,,,,48969.85,8231.44
1992,Indonesia,712.54,111.2816272,9096.55,24227.74,4045.5,3953.0,0.0,6761.05,0.0,1595.72,0.0,,,,124229.26,15327.73
1992,"Iran, Islamic Rep. of",180.31,93.60928377,6949.1,22329.08,6612.26,0.72,0.0,6851.89,68.99,16506.35,103743.94,,,,3226.2,1734.32
1992,Iraq,56.52,99.04655901,916.62,7990.93,731.56,0.0,0.0,361.47,17.8,974.69,32039.16,,,,245.29,376.93
1992,Ireland,29.99,90.92629667,4832.58,439.58,192.68,0.0,0.0,163.6,857.39,24.79,25.55,,,,398.41,3.36
1992,Isle of Man,0.7,86.15832913,39.75,3.03,1.15,0.0,0.0,2.57,0.0,0.02,0.82,,,,5.82,3.03
1992,Israel,27.67,98.15615743,81.95,392.68,51.62,0.0,0.0,63.34,0.07,85.01,1207.94,,,,70.56,96.19
1992,Italy,496.69,99.13492049,3263.29,10846.33,390.47,0.0,42.31,1303.68,31.71,238.71,901.65,,,,9098.06,3568.75
1992,Jamaica,13.92,62.41352369,69.64,56.94,10.51,8.8,0.0,11.89,6.31,0.19,0.0,,,,883.35,41.87
1992,Japan,900.59,92.50207995,1279.59,6979.97,954.53,2.84,0.0,868.03,70.66,7.69,4.01,,,,25696.48,667.79
1992,Jordan,17.09,104.8243268,39.29,403.55,48.56,0.0,0.0,9.35,0.04,173.85,8122.83,,,,13.7,108.77
1992,"Kazakhstan, Rep. of",123.32,84.45739453,89171.64,39800.1,19375.4,0.0,113.64,20544.34,1186.75,67062.1,38238.92,,,,8077.06,165.76
1992,Kenya,5.05,97.89779195,14236.05,10734.09,1248.18,17.07,0.0,20566.93,892.18,414.04,2877.88,,,,6665.16,973.61
1992,Kiribati,0.02,87.31884058,2.8,2.39,84.16,0.05,0.0,0.29,0.0,9.33,0.0,,,,1.44,44.21
1992,"Korea, Dem. People's Rep. of",46.71,93.93974747,306.01,3323.6,207.43,0.0,0.0,127.16,5.15,54.49,18.58,,,,7910.66,260.11
1992,"Korea, Rep. of",107.45,87.18638107,294.07,3142.6,258.73,0.0,0.0,124.61,5.8,62.34,46.68,,,,5602.91,284.79
1992,Kuwait,8.86,78.06729586,3.65,29.19,16.42,0.0,0.0,4.97,9.97,24.79,1637.41,,,,2.65,7.3
1992,Kyrgyz Rep.,3.64,96.14085085,8751.66,3588.19,718.76,0.0,609.51,839.28,0.0,2005.04,1828.2,,,,1406.69,184.85
1992,Lao People's Dem. Rep.,3.17,88.40549241,1297.17,2575.29,202.9,0.0,0.0,8090.48,89.21,0.0,0.0,,,,10693.78,209.5
1992,Latin America and the Caribbean,,89.31143338,,,,,,,,,,236720.89,122190.01,1672737.83,,
1992,Latvia,15.92,85.89498627,603.84,1457.92,118.05,0.0,0.0,174.38,119.02,0.09,0.2,,,,3931.76,19.0
1992,Lebanon,9.2,110.1458177,59.99,289.97,2.32,0.0,0.0,226.3,0.0,125.06,52.1,,,,48.08,202.98
1992,"Lesotho, Kingdom of",2.61,93.40778149,1437.97,654.0,7.27,0.0,0.0,756.62,0.9,0.16,0.72,,,,187.75,7.88
1992,Liberia,11.5,83.45437282,362.49,2616.57,48.6,28.02,0.0,180.38,3.84,0.0,0.0,,,,5300.06,1121.39
1992,Libya,37.27,96.00084497,143.32,1706.05,61.92,0.0,0.0,203.17,23.93,3847.79,155776.33,,,,163.57,328.99
1992,Liechtenstein,0.1,61.26760563,3.27,0.77,0.07,0.0,0.0,0.56,0.02,0.04,0.15,,,,9.2,0.77
1992,Lithuania,30.14,100.9212896,654.7,3300.52,116.4,0.0,0.0,208.86,30.0,0.62,0.95,,,,2085.56,50.34
1992,Luxembourg,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,"Madagascar, Rep. of",20.26,90.69765861,21926.41,3305.91,485.75,140.21,0.0,9070.64,280.51,58.03,328.56,,,,22836.13,701.61
1992,Malawi,10.63,77.20141827,555.79,4187.76,2469.86,0.0,0.0,363.88,211.55,0.34,12.73,,,,3892.34,236.7
1992,Malaysia,113.76,109.8317793,1513.13,859.91,462.41,598.04,0.0,1186.2,0.0,7.86,0.0,,,,23256.99,5197.54
1992,Maldives,0.08,60.26592242,0.33,1.77,106.26,0.02,0.0,0.65,0.0,0.86,0.18,,,,0.42,2.36
1992,Mali,12.83,91.29261714,15285.96,19608.25,411.52,0.0,0.0,10495.8,302.59,4338.75,71473.67,,,,3087.34,815.88
1992,Malta,3.35,96.95052093,1.72,15.53,1.64,0.0,0.0,0.5,0.0,0.35,6.13,,,,1.16,1.29
1992,"Marshall Islands, Rep. of the",0.05,84.21052632,0.15,0.11,161.27,0.0,0.0,0.04,0.0,2.9,0.0,,,,0.13,1.81
1992,Martinique,1.6,71.34302823,3.85,6.74,3.19,1.84,0.0,2.97,0.31,0.0,0.0,,,,83.29,7.58
1992,"Mauritania, Islamic Rep. of",15.76,93.21940143,11798.2,1636.88,74.73,1.98,0.0,763.12,183.5,4406.39,85213.43,,,,255.62,31.18
1992,Mauritius,6.19,79.70482749,14.21,86.32,7.12,1.07,0.0,11.02,0.07,0.03,0.08,,,,70.61,5.39
1992,Mayotte,0.18,80.48780488,2.03,0.15,2.74,1.92,0.0,2.96,0.01,0.0,0.0,,,,28.02,0.31
1992,Mexico,553.07,96.08821583,17509.21,24210.19,1708.41,714.57,0.0,72138.27,144.8,60.95,2781.37,,,,73620.3,2512.88
1992,"Micronesia, Federated States of",3.11,99.81275468,0.9,1.75,48.84,27.2,0.0,0.25,0.0,0.4,0.0,,,,26.11,1.75
1992,Middle East and Central Asia,,87.76549794,,,,,,,,,,163933.25,1288055.29,378408.78,,
1992,"Moldova, Rep. of",72.6,90.81019204,177.7,2227.94,31.66,0.0,0.0,7.45,3.49,0.29,0.09,,,,257.94,598.05
1992,Monaco,0.04,85.58196974,0.06,0.32,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,,0.02,0.32
1992,Mongolia,30.21,88.30859694,32228.16,5236.19,1491.46,0.0,62.01,2683.46,370.28,35649.22,69043.35,,,,9593.16,3.84
1992,Montenegro,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,Montserrat,0.0,96.96923638,0.21,0.31,0.54,0.12,0.0,0.21,0.99,0.43,0.0,,,,7.16,0.31
1992,Morocco,76.1,105.1205076,1275.24,7100.02,71.95,0.0,0.0,2331.63,0.18,8781.45,19693.61,,,,1579.21,621.47
1992,"Mozambique, Rep. of",24.69,83.92686347,3500.87,7909.14,1560.43,489.49,0.0,14744.19,1431.23,40.71,546.56,,,,48399.51,516.79
1992,Myanmar,38.71,103.2062028,4306.72,17100.37,1000.05,388.35,1.57,14932.34,58.74,0.4,0.91,,,,28304.68,905.78
1992,Namibia,34.7,86.55503966,37520.39,1927.27,486.48,0.0,0.0,17783.25,145.37,4840.55,15386.33,,,,4523.26,5.84
1992,"Nauru, Rep. of",0.0,100.0,0.11,0.84,0.18,0.0,0.0,0.02,0.0,0.14,0.0,,,,0.03,0.84
1992,Nepal,10.57,102.3388807,3202.53,2995.87,30.53,0.0,488.22,557.91,2.29,10.3,192.1,,,,7260.73,48.79
1992,New Caledonia,1.38,101.4403792,62.12,165.53,68.97,54.91,0.0,112.56,0.0,92.19,0.0,,,,1200.03,110.35
1992,New Zealand,145.17,124.9959819,13927.5,650.83,684.87,21.62,108.46,2303.28,118.36,162.38,969.65,,,,7895.29,75.66
1992,Nicaragua,12.89,95.66437225,1178.06,1279.73,1027.16,88.11,0.0,821.11,30.89,0.18,2.3,,,,8277.71,198.75
1992,Niger,6.35,99.37794989,15353.91,7633.83,63.16,0.0,0.0,1305.77,183.79,12637.41,80876.73,,,,837.16,7.64
1992,Nigeria,183.77,94.67754198,7826.22,39918.46,929.86,894.26,0.0,16467.53,382.1,45.52,25.27,,,,18954.91,5835.26
1992,Niue,0.03,100.0,0.78,1.31,0.53,0.0,0.0,0.46,0.0,0.0,0.0,,,,19.7,3.66
1992,Norfolk Island,0.0,96.4600906,0.36,1.27,0.33,0.0,0.0,0.09,0.0,0.0,0.05,,,,0.51,1.27
1992,"North Macedonia, Republic of ",13.74,102.6481041,456.84,754.54,50.53,0.0,0.0,142.71,1.14,3.46,10.75,,,,1041.64,69.73
1992,Northern Mariana Islands,0.02,100.0,16.48,9.79,3.45,0.03,0.0,0.53,0.0,0.07,0.02,,,,7.49,9.79
1992,Norway,119.67,82.07070068,3310.29,995.31,2380.19,0.0,3532.34,1508.21,3270.81,6624.43,3615.54,,,,13242.51,5.67
1992,Oceania,,95.02122245,,,,,,,,,,53061.34,318033.43,481405.97,,
1992,Oman,17.0,61.05262169,27.72,113.61,42.69,0.0,0.0,65.1,3.08,1856.24,28674.58,,,,41.08,155.8
1992,Pakistan,40.48,99.11396022,15985.16,24238.18,540.06,8.21,210.93,7276.89,381.1,2651.63,24978.71,,,,2480.17,372.65
1992,"Palau, Rep. of",0.05,70.95207922,1.3,0.39,4.94,4.05,0.0,1.18,0.0,0.09,0.0,,,,30.72,2.59
1992,Panama,10.77,96.45682702,425.34,979.96,124.53,130.94,0.0,377.7,8.8,0.64,4.45,,,,5133.54,313.59
1992,Papua New Guinea,15.08,80.4730141,896.88,790.19,800.89,626.68,0.0,638.62,0.0,367.32,0.88,,,,40069.58,2489.91
1992,Paraguay,25.75,74.64313285,2706.2,4644.32,314.01,0.0,0.0,7049.16,2920.29,2.37,0.54,,,,22284.16,171.64
1992,Peru,126.99,107.6899058,16303.56,2503.25,1103.97,4.9,300.07,10263.67,216.19,6212.38,9488.27,,,,83093.64,261.78
1992,Philippines,75.01,110.3257553,2129.5,7319.32,942.19,544.75,0.0,1404.54,0.0,146.63,0.0,,,,11298.09,5925.48
1992,Pitcairn Islands,0.0,100.0,0.21,1.96,0.44,0.0,0.0,0.0,0.0,0.36,0.0,,,,0.0,1.96
1992,"Poland, Rep. of",277.73,102.0433831,3036.12,16882.31,457.12,0.0,0.0,622.43,91.77,10.88,2.64,,,,9338.46,426.27
1992,Portugal,77.19,120.3958513,1055.32,2451.21,98.26,0.0,0.0,1222.01,14.04,10.78,33.61,,,,3100.53,824.25
1992,Puerto Rico,50.28,87.31662013,84.12,84.71,20.88,5.97,0.0,15.54,16.2,0.09,0.03,,,,548.73,76.56
1992,Qatar,28.57,84.82238158,5.2,21.96,18.31,0.0,0.0,6.23,0.01,17.68,1050.31,,,,7.64,3.66
1992,Romania,261.29,99.72064191,2622.98,11788.04,278.92,0.0,0.0,263.62,300.65,8.8,7.22,,,,7515.75,759.67
1992,Russian Federation,1392.68,98.21251809,153123.11,155440.78,60646.7,0.0,5309.06,118778.55,87681.5,123385.13,31566.89,,,,954389.59,2001.77
1992,Rwanda,1.93,89.10071258,135.88,1202.85,157.37,0.0,0.0,213.0,80.64,0.02,0.0,,,,346.67,416.9
1992,Réunion,3.35,68.03780178,22.86,50.2,7.91,1.09,0.0,14.4,0.16,0.0,3.74,,,,141.12,7.17
1992,Saint Helena,1.4,99.16263523,9.4,0.9,2.08,0.0,0.0,1.25,0.0,18.45,3.18,,,,2.57,0.9
1992,Saint Pierre and Miquelon,0.07,38.88888889,0.6,0.0,3.15,0.0,0.0,9.93,4.67,0.1,0.36,,,,4.71,0.0
1992,Samoa,0.03,66.56685714,28.07,36.9,3.42,0.64,0.0,22.51,0.0,0.02,0.0,,,,122.54,71.63
1992,"San Marino, Rep. of",0.38,59.15361235,0.4,2.15,0.0,0.0,0.0,0.09,0.0,0.0,0.5,,,,0.44,2.15
1992,Saudi Arabia,142.66,92.79449662,194.39,2410.01,178.35,2.35,0.0,443.47,9.02,7193.9,182654.45,,,,117.55,63.39
1992,Senegal,21.07,98.27610693,2267.18,5347.08,299.55,220.24,0.0,7410.08,353.86,43.8,12.69,,,,3681.87,63.24
1992,"Serbia, Rep. of",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,Seychelles,0.13,246.1040678,3.07,4.35,11.18,7.53,0.0,2.04,0.0,0.22,0.67,,,,7.21,13.05
1992,Sierra Leone,9.11,86.97098384,579.12,2870.13,47.47,206.46,0.0,459.21,34.07,0.0,4.45,,,,2255.61,738.2
1992,Singapore,8.24,90.20588235,3.6,22.43,5.94,5.39,0.0,1.06,0.0,0.15,0.0,,,,8.58,4.49
1992,Slovak Rep.,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
1992,"Slovenia, Rep. of",15.91,94.44040607,147.2,360.86,4.44,0.0,0.0,85.52,1.55,2.59,7.52,,,,1341.37,64.95
1992,Solomon Islands,0.62,64.83909416,4.31,4.82,113.85,133.15,0.0,2.83,0.0,0.17,0.0,,,,2558.25,24.08
1992,Somalia,24.86,98.69880229,7789.33,5033.85,94.97,1.34,0.0,37469.65,61.41,5355.0,5512.23,,,,2302.04,98.41
