Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Trade Flow,Scale,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Afghanistan, Islamic Rep. of",AF,AFG,Trade balance in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,,,,,,,,,,,,,,,,,,,,,,-0.0853359783840628,-0.104278352736771,-0.558621777400893,,,,
Albania,AL,ALB,Comparative advantage in low carbon technology products,Index,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLA,Trade in Low Carbon Technology Products; Comparative Advantage,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,0.0757902073990987,0.120211678087096,0.149480717460555,0.0972462932418504,0.0740967089816037,0.126079883986396,0.20869058316719,0.250868779036529,0.233643116832399,0.270998555775084,0.302951129208075,0.205359243811756,0.198250197118964,0.222421045138077,0.172822137298533,0.190072978159803,0.129097544314896,0.142388137857319,0.198756077240276,0.0005922370461654,0.000147998061414,0.0010693426251479,0.0243214771111657,0.106466988624337,,
Albania,AL,ALB,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,462018.0,377321.0,541428.0,1163679.0,1377025.0,1084958.0,891157.0,2030792.0,4790525.0,6059007.0,6747775.0,10568440.0,16032265.0,9875985.0,13229235.0,17558790.0,13202339.0,18436375.0,13384751.0,12584175.0,16950188.0,66677.761,20612.193,151456.134,3479802.776,20241102.992,,
Albania,AL,ALB,Exports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,0.014439827526964,0.0167065922833173,0.0211483949965085,0.0362620880500757,0.0395320805504139,0.027621445114928,0.0204954651289292,0.0361898640026447,0.0666769287809766,0.0752481673568108,0.0758511054442172,0.0989798167962633,0.124460393085707,0.0819986826279604,0.110824769094238,0.136127871806545,0.107131071102872,0.144219306418397,0.101045138549388,0.11049239227646,0.142892382044667,0.0005108066682404,0.0001359948577226,0.0009835677617286,0.0229056983528161,0.11255135476842,,
Albania,AL,ALB,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,0.26220776877572,0.422619260735763,0.537436408757282,0.353151913984305,0.262999489885634,0.454199134169313,0.792595823379494,0.948776231731896,0.901482903856726,1.05802466135788,1.19480334004436,0.897503448325538,0.85781926465348,0.899786618270662,0.694283762735377,0.753240095894584,0.524096218882929,0.619441833756518,0.864154161059503,0.0027069551820302,0.0006650372601897,0.0050738939643806,0.128109247709426,0.549865498125908,,
Albania,AL,ALB,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,15896221.0,6744097.0,10796563.0,19848183.0,21654758.0,32086161.0,42621288.0,51861787.0,69737269.0,89208872.0,75229677.0,119034758.0,184304969.0,141562075.0,133913000.0,182255382.0,140400109.0,114408118.0,61437993.0,114440615.0,100314286.0,72587011.987,72379974.842,93367943.547,117100708.437,120928797.552,7609903.025,
Albania,AL,ALB,Imports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,0.496817633881156,0.298607495734781,0.421718084267324,0.618500943627938,0.621671819724202,0.816866768123967,0.980234820524383,0.924206427080727,0.970638274196004,1.10790499663861,0.845649738270971,1.11483232522752,1.43078154517712,1.17536667583846,1.12182430077905,1.41296964522891,1.13928403596741,0.894962237782327,0.46381217811832,1.00481893528494,0.845663026253749,0.556076406803873,0.477547652528181,0.606338593402432,0.770811933037838,0.67242877032803,0.0398772789395017,
Albania,AL,ALB,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,1.35866181892053,2.20755415707584,1.98053489166517,2.42051974994154,2.8520105518739,2.7998211799742,3.03981577733451,3.4273110894663,2.50338208271643,2.93825988893747,3.51644115683092,3.18813043645857,2.9509692407049,3.42683374438111,2.88629473319006,2.28090911599785,1.140448945677,2.59604382858641,2.14985791802607,1.2800829499928,1.12983907650703,1.44017892686881,1.94432732426022,1.49303298007726,0.090584158529595,
Albania,AL,ALB,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,16358239.0,7121418.0,11337991.0,21011862.0,23031783.0,33171119.0,43512445.0,53892579.0,74527794.0,95267879.0,81977452.0,129603198.0,200337234.0,151438060.0,147142235.0,199814172.0,153602448.0,132844493.0,74822744.0,127024790.0,117264474.0,72653689.748,72400587.035,93519399.681,120580511.213,141169900.544,,
Albania,AL,ALB,Total trade in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,0.51125746140812,0.315314088018098,0.442866479263833,0.654763031678014,0.661203900274616,0.844488213238895,1.00073028565331,0.960396291083372,1.03731520297698,1.18315316399542,0.921500843715188,1.21381214202378,1.55524193826283,1.25736535846642,1.23264906987329,1.54909751703545,1.24641510707028,1.03918154420072,0.564857316667708,1.1153113275614,0.988555408298416,0.556587213472113,0.477683647385903,0.60732216116416,0.793717631390654,0.784980125096449,,
Albania,AL,ALB,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,-15434203.0,-6366776.0,-10255135.0,-18684504.0,-20277733.0,-31001203.0,-41730131.0,-49830995.0,-64946744.0,-83149865.0,-68481902.0,-108466318.0,-168272704.0,-131686090.0,-120683765.0,-164696592.0,-127197770.0,-95971743.0,-48053242.0,-101856440.0,-83364098.0,-72520334.226,-72359362.649,-93216487.413,-113620905.661,-100687694.56,,
Albania,AL,ALB,Trade balance in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,-0.482377806354192,-0.281900903451463,-0.400569689270816,-0.582238855577862,-0.582139739173788,-0.789245323009039,-0.959739355395454,-0.888016563078083,-0.903961345415027,-1.0326568292818,-0.769798632826754,-1.01585250843126,-1.30632115209141,-1.0933679932105,-1.01099953168481,-1.27684177342236,-1.03215296486454,-0.750742931363929,-0.362767039568931,-0.894326543008477,-0.702770644209082,-0.555565600135632,-0.477411657670458,-0.605355025640703,-0.747906234685022,-0.55987741555961,,
Algeria,DZ,DZA,Comparative advantage in low carbon technology products,Index,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLA,Trade in Low Carbon Technology Products; Comparative Advantage,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Comparative Advantage",Not Applicable,Units,,,,,0.0068133425708477,0.0153239127617488,0.0092082047341783,0.005741308938649,0.0080684277041686,0.0028194727165958,0.002767095662297,0.0022876245862429,0.0014845903625042,0.0009790346426398,0.0011631264832114,0.0023664145141577,0.0007154698719892,0.0012271664513501,0.0009340160313962,0.0010904950348913,0.0006799195895643,0.0011597826834058,0.0011781814644443,0.001304907649743,,,,,,
Algeria,DZ,DZA,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,190885.0,2433262.0,17679065.0,967805.0,2363143.0,6863453.0,7268160.0,3832110.0,5422703.0,3002570.0,3274659.0,4027702.0,3159328.0,2261599.0,3637561.0,4674052.0,1766237.0,3648336.0,2696585.0,2850078.0,1652951.0,1743890.0,1483487.0,2096243.91,,,,,,
Algeria,DZ,DZA,Exports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,0.0004145719027351,0.0053298422159106,0.0347023332168098,0.0018509583016475,0.0045186752909216,0.0129472697631867,0.0122322099198299,0.0064499067520387,0.0088150950722542,0.0040861145272314,0.0035627571837588,0.0037625681860624,0.0025668010020546,0.0015872792753832,0.0020165669119789,0.0031094572779331,0.0009934676559006,0.0016710042062334,0.0011871711350158,0.0012407750340844,0.0006917772507256,0.000930105149369,0.0008206768562801,0.0011032648477699,,,,,,
Algeria,DZ,DZA,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,0.0235717966042649,0.0538731409959811,0.0331067750243071,0.0208496814929143,0.0286381460059487,0.0101570688852317,0.010509283320518,0.0086517096423416,0.0057281072482358,0.0038223185111598,0.0045872329661481,0.0103421942309598,0.0030958044349547,0.0049644041130644,0.0037522517362041,0.0043215221469489,0.0027602638603713,0.0050454899051204,0.0051225121219913,0.0059643795460167,,,,,,
Algeria,DZ,DZA,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,668268212.0,612865513.0,493125950.0,574611445.0,532937929.0,525195983.0,453406122.0,601953998.0,813081308.0,889442056.0,1275451408.0,1025390049.0,1211506096.0,1756239653.0,2356635433.0,3245596972.0,4017092167.0,3137787427.0,2094206783.0,3037173836.0,4348109492.0,3798316688.0,2933522590.0,2880619566.58,,,,,,
Algeria,DZ,DZA,Imports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,1.45137241892358,1.34242694944612,0.967959619739839,1.09896293607129,1.01905532224129,0.990733683241224,0.76307605545833,1.01316171929222,1.32173733864695,1.21041711139197,1.38766316321404,0.957891119221931,0.984290032946273,1.2325981766941,1.30645590212371,2.15916406702863,2.25952187542573,1.43716367921801,0.921974216845375,1.32222678462952,1.81972921776266,2.02583529376458,1.62284812538839,1.51608612549574,,,,,,
Algeria,DZ,DZA,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,5.66737258776903,5.72554047355301,5.03069915189303,6.1807300023724,6.88544507208022,6.23962230641048,7.02471903193955,5.16931715240439,5.67184970118903,6.43970059772916,5.99098611419404,8.29687477832909,9.9990442885325,6.64118764542045,4.15936638618812,5.5372890507088,7.68548065925334,7.63863339633281,6.1399518572575,5.79986727591007,,,,,,
Algeria,DZ,DZA,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,668459097.0,615298775.0,510805015.0,575579250.0,535301072.0,532059436.0,460674282.0,605786108.0,818504011.0,892444626.0,1278726067.0,1029417751.0,1214665424.0,1758501252.0,2360272994.0,3250271024.0,4018858404.0,3141435763.0,2096903368.0,3040023914.0,4349762443.0,3800060578.0,2935006077.0,2882715810.49,,,,,,
Algeria,DZ,DZA,Total trade in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,1.45178699082631,1.34775679166203,1.00266195295665,1.10081389437293,1.02357399753221,1.00368095300441,0.77530826537816,1.01961162604425,1.3305524337192,1.2145032259192,1.3912259203978,0.961653687407994,0.986856833948328,1.23418545596949,1.30847246903569,2.16227352430656,2.26051534308163,1.43883468342424,0.92316138798039,1.3234675596636,1.82042099501338,2.02676539891395,1.62366880224467,1.51718939034351,,,,,,
Algeria,DZ,DZA,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,-668077327.0,-610432251.0,-475446885.0,-573643640.0,-530574786.0,-518332530.0,-446137962.0,-598121888.0,-807658605.0,-886439486.0,-1272176749.0,-1021362347.0,-1208346768.0,-1753978054.0,-2352997872.0,-3240922920.0,-4015325930.0,-3134139091.0,-2091510198.0,-3034323758.0,-4346456541.0,-3796572798.0,-2932039103.0,-2878523322.67,,,,,,
Algeria,DZ,DZA,Trade balance in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,-1.45095784702084,-1.33709710723021,-0.933257286523029,-1.09711197776964,-1.01453664695037,-0.977786413478037,-0.7508438455385,-1.00671181254018,-1.31292224357469,-1.20633099686474,-1.38410040603028,-0.954128551035869,-0.981723231944218,-1.23101089741872,-1.30443933521173,-2.15605460975069,-2.25852840776983,-1.43549267501177,-0.920787045710359,-1.32098600959543,-1.81903744051193,-2.02490518861521,-1.62202744853211,-1.51498286064797,,,,,,
